Old;New
Acai House;fast food restaurant
Accessories Store;Store
American Restaurant;International Restaurant
Antique Shop;Store
Arcade;General Entertainment
Argentinian Restaurant;International Restaurant
Art Gallery;Museum
Art Museum;Museum
Arts & Crafts Store;Store
Arts & Entertainment;General Entertainment
Asian Restaurant;International Restaurant
Athletics & Sports;Gym
Auto Garage;Service
Auto Workshop;Service
Bagel Shop;Bakery
Baiano Restaurant;Regional Restaurant
Bakery;Bakery
Bank;Bank
Bar;Bar
Basketball Court;Gym
Bath House;Service
BBQ Joint;fast food restaurant
Beer Bar;Bar
Beer Garden;Bar
Beer Store;Store
Big Box Store;Store
Bike Rental / Bike Share;Service
Bistro;International Restaurant
Bookstore;Store
Boutique;Store
Bowling Alley;General Entertainment
Brazilian Restaurant;Regional Restaurant
Breakfast Spot;Regional Restaurant
Brewery;Food Shop
Bubble Tea Shop;Food Shop
Buffet;Regional Restaurant
Burger Joint;fast food restaurant
Bus Station;Bus Station
Business Service;Service
Butcher;Market
Café;Coffee Shop
Camera Store;Store
Campground;General Entertainment
Candy Store;Food Shop
Car Wash;Store
Cheese Shop;Food Shop
Chinese Restaurant;International Restaurant
Chocolate Shop;Food Shop
Churrascaria;Regional Restaurant
Clothing Store;Store
Cocktail Bar;Bar
Coffee Shop;Coffee Shop
College Gym;Gym
Colombian Restaurant;International Restaurant
Comfort Food Restaurant;International Restaurant
Convenience Store;Store
Cosmetics Shop;Store
Credit Union;Bank
Cultural Center;Cultural Center
Cupcake Shop;Food Shop
Dance Studio;Gym
Deli / Bodega;Food Shop
Department Store;Store
Dessert Shop;Food Shop
Diner;fast food restaurant
Dive Bar;Bar
Donburi Restaurant;International Restaurant
Doner Restaurant;International Restaurant
Donut Shop;Food Shop
Drugstore;Pharmacy
Dumpling Restaurant;International Restaurant
Electronics Store;Store
Empada House;fast food restaurant
Empanada Restaurant;International Restaurant
Event Service;Event Space
Event Space;Event Space
Falafel Restaurant;International Restaurant
Farmers Market;Market
Fast Food Restaurant;International Restaurant
Financial or Legal Service;Service
Fish Market;Market
Fishing Spot;General Entertainment
Flea Market;Store
Flower Shop;Store
Fondue Restaurant;International Restaurant
Food;fast food restaurant
Food & Drink Shop;fast food restaurant
Food Stand;fast food restaurant
Food Truck;fast food restaurant
French Restaurant;International Restaurant
Fried Chicken Joint;fast food restaurant
Frozen Yogurt Shop;Food Shop
Fruit & Vegetable Store;Market
Furniture / Home Store;Store
Gaming Cafe;Coffee Shop
Garden;Park
Gas Station;Store
Gastropub;Bar
Gay Bar;Bar
General Entertainment;General Entertainment
Gift Shop;Store
Gluten-free Restaurant;International Restaurant
Gourmet Shop;Food Shop
Greek Restaurant;International Restaurant
Grocery Store;Market
Gun Range;Sports Field
Gym;Gym
Gym / Fitness Center;Gym
Gym Pool;Gym
Gymnastics Gym;Gym
Halal Restaurant;International Restaurant
Hardware Store;Store
Health & Beauty Service;Service
Health Food Store;Food Shop
Historic Site;Museum
History Museum;Museum
Hobby Shop;Store
Hookah Bar;Bar
Hospital;Hospital
Hostel;Hotel
Hot Dog Joint;fast food restaurant
Hotel;Hotel
Ice Cream Shop;Food Shop
Indie Movie Theater;Movie Theater
Irish Pub;Bar
IT Services;Service
Italian Restaurant;International Restaurant
Japanese Restaurant;International Restaurant
Jazz Club;Club
Jewelry Store;Store
Jewish Restaurant;International Restaurant
Juice Bar;Bar
Karaoke Bar;Bar
Kebab Restaurant;International Restaurant
Kids Store;Store
Korean Restaurant;International Restaurant
Latin American Restaurant;International Restaurant
Liquor Store;Store
Lottery Retailer;Service
Lounge;Bar
Market;Market
Martial Arts Dojo;Gym
Massage Studio;Service
Men's Store;Store
Mental Health Office;Service
Mexican Restaurant;International Restaurant
Middle Eastern Restaurant;International Restaurant
Miscellaneous Shop;Store
Mobile Phone Shop;Store
Mongolian Restaurant;International Restaurant
Motel;Hotel
Motorcycle Shop;Store
Movie Theater;Movie Theater
Museum;Museum
Music Store;Store
Music Venue;General Entertainment
Newsstand;Store
Nightclub;Club
Noodle House;International Restaurant
Northeastern Brazilian Restaurant;Regional Restaurant
Northern Brazilian Restaurant;Regional Restaurant
Optical Shop;Store
Organic Grocery;Market
Other Great Outdoors;Plaza
Outlet Store;Store
Paella Restaurant;International Restaurant
Paper / Office Supplies Store;Store
Park;Park
Pastelaria;Regional Restaurant
Pastry Shop;Bakery
Pedestrian Plaza;Plaza
Performing Arts Venue;Theater
Perfume Shop;Store
Persian Restaurant;International Restaurant
Peruvian Restaurant;International Restaurant
Pet Store;Store
Pharmacy;Pharmacy
Piano Bar;Bar
Pie Shop;Bakery
Pilates Studio;Gym
Pizza Place;Food Shop
Planetarium;General Entertainment
Playground;Park
Plaza;Plaza
Poke Place;fast food restaurant
Pool;Gym
Portuguese Restaurant;International Restaurant
Pub;Bar
Racetrack;Sports Field
Ramen Restaurant;International Restaurant
Record Shop;Store
Recording Studio;Service
Recreation Center;General Entertainment
Resort;General Entertainment
Rest Area;Park
Restaurant;Regional Restaurant
Rock Club;Club
Roller Rink;Sports Field
Salad Place;Regional Restaurant
Salon / Barbershop;Service
Salsa Club;Club
Sandwich Place;fast food restaurant
School;School
Seafood Restaurant;International Restaurant
Shoe Store;Store
Shop & Service;Store
Shopping Mall;Shopping Plaza
Shopping Plaza;Shopping Plaza
Skate Park;Park
Smoke Shop;Store
Snack Place;fast food restaurant
Soccer Field;Sports Field
Soccer Stadium;Stadium
Social Club;Club
South American Restaurant;International Restaurant
Southeastern Brazilian Restaurant;Regional Restaurant
Souvenir Shop;Store
Spa;Service
Spanish Restaurant;International Restaurant
Speakeasy;Bar
Sporting Goods Shop;Store
Sports Bar;Bar
Sports Club;Club
Stadium;Stadium
Stationery Store;Store
Steakhouse;International Restaurant
Street Food Gathering;Regional Restaurant
Supermarket;Market
Sushi Restaurant;International Restaurant
Swiss Restaurant;International Restaurant
Taco Place;International Restaurant
Tapiocaria;Regional Restaurant
Tea Room;Food Shop
Tennis Court;Sports Field
Tennis Stadium;Stadium
Thai Restaurant;International Restaurant
Theater;Theater
Theme Park;General Entertainment
Theme Park Ride / Attraction;General Entertainment
Thrift / Vintage Store;Store
Toy / Game Store;Store
Track;Sports Field
Track Stadium;Stadium
Trail;Park
Travel Agency;Store
Vegetarian / Vegan Restaurant;International Restaurant
Veterinarian;Service
Video Store;Store
Vietnamese Restaurant;International Restaurant
Whisky Bar;Bar
Wine Bar;Bar
Wine Shop;Store
Winery;Store
Wings Joint;fast food restaurant
Women's Store;Store
Yoga Studio;Gym
